,batch,file,Sam's numbers,Anna's numbers,quality key,consensus
192,19,lst_07:15:49_2021_07_08.tif,1,,,
193,19,lst_07:17:20_2020_08_22.tif,0,,,
194,19,lst_07:22:23_2018_08_25.tif,0,,,
195,19,lst_07:23:15_2018_08_25.tif,1,,,
196,19,lst_07:26:36_2021_09_06.tif,0,,,
197,19,lst_07:32:22_2020_09_07.tif,0,,,
198,19,lst_07:33:14_2020_09_07.tif,0,,,
199,19,lst_07:34:57_2019_08_22.tif,0,,,
200,19,lst_07:36:37_2020_06_21.tif,1,,,
201,20,lst_07:38:51_2021_06_19.tif,0,,,
202,20,lst_07:38:52_2021_04_20.tif,0,,,
203,20,lst_07:39:56_2019_07_09.tif,0,,,
204,20,lst_07:54:19_2019_06_23.tif,0,,,
205,20,lst_07:58:02_2021_05_06.tif,2,2,,2
206,20,lst_07:59:33_2020_04_20.tif,0,,,
207,20,lst_08:00:07_2021_07_05.tif,0,,,
208,20,lst_08:12:58_2020_05_06.tif,1,,,
209,20,lst_08:14:18_2018_08_24.tif,0,,,
210,20,lst_08:15:10_2018_08_24.tif,1,,,
211,21,lst_08:20:11_2019_09_06.tif,0,,,
212,21,lst_08:21:03_2019_09_06.tif,0,,,
213,21,lst_08:23:15_2020_06_18.tif,0,,,
214,21,lst_08:23:54_2019_08_21.tif,0,,,
215,21,lst_08:24:02_2021_04_17.tif,0,,,
216,21,lst_08:26:27_2021_06_18.tif,0,,,
217,21,lst_08:30:18_2022_04_17.tif,1,,,
218,21,lst_08:33:37_2021_08_17.tif,0,2,,2
219,21,lst_08:45:08_2021_05_05.tif,0,,,
220,21,lst_08:46:00_2021_05_05.tif,0,,,
221,22,lst_08:46:06_2019_06_20.tif,0,,,
222,22,lst_08:47:46_2021_07_04.tif,0,,,
223,22,lst_08:50:57_2020_08_18.tif,0,,,
224,22,lst_08:58:01_2021_09_02.tif,0,2,,2
225,22,lst_09:02:02_2018_09_07.tif,1,,,
226,22,lst_09:06:10_2020_09_03.tif,0,,,
227,22,lst_09:07:02_2020_09_03.tif,0,,,
228,22,lst_09:11:18_2020_06_17.tif,1,,,
229,22,lst_09:11:27_2021_04_16.tif,0,2,,2
230,22,lst_09:11:46_2021_06_15.tif,1,,,
231,23,lst_09:14:15_2018_08_21.tif,0,0,,
232,23,lst_09:20:07_2019_07_05.tif,1,,,
233,23,lst_09:20:59_2019_07_05.tif,0,,,
234,23,lst_09:30:54_2021_05_02.tif,2,2,,2
235,23,lst_09:31:46_2021_05_02.tif,0,,,
236,23,lst_09:32:09_2020_04_16.tif,0,,,
237,23,lst_09:36:54_2020_08_15.tif,2,2,,2
238,23,lst_09:37:52_2019_06_17.tif,1,,,
239,23,lst_09:44:58_2021_09_01.tif,0,,,
240,23,lst_09:47:13_2020_05_02.tif,0,,,
241,24,lst_09:48:05_2020_05_02.tif,0,,,
242,24,lst_09:52:31_2020_08_31.tif,0,,,
243,24,lst_09:53:37_2018_09_06.tif,0,,,
244,24,lst_09:54:29_2018_09_06.tif,0,,,
245,24,lst_09:57:56_2020_06_14.tif,0,,,
246,24,lst_09:58:55_2019_09_02.tif,0,,,
247,24,lst_09:59:25_2021_06_14.tif,0,,,
248,24,lst_10:02:03_2019_08_17.tif,0,,,
249,24,lst_10:06:01_2021_08_13.tif,0,,,
250,24,lst_10:06:53_2021_08_13.tif,0,,,
251,25,lst_10:07:06_2022_04_13.tif,0,,,
252,25,lst_10:18:08_2021_05_01.tif,0,,,
253,25,lst_10:19:00_2021_05_01.tif,0,,,
254,25,lst_10:19:47_2021_06_30.tif,0,2,,2
255,25,lst_10:24:32_2020_08_14.tif,0,,,
256,25,lst_10:27:23_2019_06_16.tif,0,,,
257,25,lst_10:29:21_2021_08_29.tif,2,,,
258,25,lst_10:30:13_2021_08_29.tif,0,,,
259,25,lst_10:34:51_2020_05_01.tif,1,,,
260,25,lst_10:35:43_2020_05_01.tif,1,,,
261,26,lst_10:39:58_2020_08_30.tif,0,,,
262,26,lst_10:40:50_2020_08_30.tif,0,,,
263,26,lst_10:44:39_2021_06_11.tif,1,,,
264,26,lst_10:46:00_2020_06_13.tif,0,,,
265,26,lst_10:47:28_2019_09_01.tif,1,,,
266,26,lst_10:48:20_2019_09_01.tif,1,,,
267,26,lst_10:51:55_2019_08_14.tif,2,2,,2
268,26,lst_10:53:05_2018_09_03.tif,0,,,
269,26,lst_10:53:57_2018_09_03.tif,0,,,
270,26,lst_10:55:16_2022_04_10.tif,0,,,
271,27,lst_11:01:08_2019_07_01.tif,0,,,
272,27,lst_11:03:49_2021_04_28.tif,2,2,,2
273,27,lst_11:03:54_2020_04_12.tif,0,,,
274,27,lst_11:10:30_2020_08_11.tif,0,,,
275,27,lst_11:13:25_2018_08_15.tif,0,,,
276,27,lst_11:19:17_2019_06_13.tif,0,0,,
277,27,lst_11:21:35_2020_04_28.tif,1,,,
278,27,lst_11:26:26_2020_08_27.tif,1,,,
279,27,lst_11:32:16_2021_06_10.tif,0,,,
280,27,lst_11:37:12_2019_08_29.tif,2,2,,2
281,28,lst_11:38:35_2021_08_09.tif,0,,,
282,28,lst_11:39:27_2021_08_09.tif,0,,,
283,28,lst_11:43:11_2019_08_11.tif,0,,,
284,28,lst_11:43:44_2022_04_09.tif,1,,,
285,28,lst_11:44:36_2022_04_09.tif,0,,,
286,28,lst_11:45:11_2020_06_28.tif,0,,,
287,28,lst_11:51:01_2021_04_27.tif,0,,,
288,28,lst_11:51:16_2020_04_11.tif,0,,,
289,28,lst_11:51:28_2021_06_26.tif,2,2,,2
290,28,lst_11:51:53_2021_04_27.tif,0,,,
291,29,lst_11:52:34_2018_08_31.tif,1,,,
292,29,lst_11:53:26_2018_08_31.tif,1,,,
293,29,lst_11:58:07_2020_08_10.tif,0,,,
294,29,lst_12:00:17_2021_08_25.tif,1,,,
295,29,lst_12:01:09_2021_08_25.tif,1,,,
296,29,lst_12:05:01_2018_08_14.tif,0,,,
297,29,lst_12:08:42_2019_06_12.tif,0,,,
298,29,lst_12:14:01_2020_08_26.tif,0,2,,2
299,29,lst_12:16:28_2021_04_08.tif,2,2,,2
300,29,lst_12:17:36_2021_06_07.tif,1,,,
301,30,lst_12:32:05_2020_06_25.tif,0,2,,2
302,30,lst_12:32:31_2022_04_06.tif,1,,,
303,30,lst_12:32:41_2019_08_10.tif,0,,,
304,30,lst_12:35:53_2020_04_08.tif,0,,,
305,30,lst_12:36:33_2021_04_24.tif,0,,,
306,30,lst_12:44:02_2020_08_07.tif,2,2,,2
307,30,lst_12:47:54_2021_08_24.tif,1,,,
308,30,lst_12:52:01_2018_08_28.tif,0,,,
309,30,lst_12:52:53_2018_08_28.tif,0,,,
310,30,lst_12:59:59_2020_08_23.tif,0,,,
311,31,lst_13:00:24_2019_06_09.tif,1,,,
312,31,lst_13:01:16_2019_06_09.tif,0,,,
313,31,lst_13:04:30_2018_08_11.tif,2,0,,0
314,31,lst_13:05:04_2021_06_06.tif,1,,,
315,31,lst_13:07:12_2020_06_06.tif,1,,,
316,31,lst_13:11:03_2021_08_05.tif,1,,,
317,31,lst_13:11:55_2021_08_05.tif,0,,,
318,31,lst_13:15:27_2019_08_25.tif,2,2,,2
319,31,lst_13:20:03_2020_06_24.tif,0,,,
320,31,lst_13:23:11_2020_04_07.tif,0,,,
321,32,lst_13:23:42_2021_06_22.tif,1,,,
322,32,lst_13:23:43_2021_04_23.tif,0,,,
323,32,lst_13:24:34_2021_06_22.tif,0,,,
324,32,lst_13:24:35_2021_04_23.tif,1,,,
325,32,lst_13:31:30_2021_08_21.tif,1,,,
326,32,lst_13:31:39_2020_08_06.tif,0,,,
327,32,lst_13:32:22_2021_08_21.tif,0,,,
328,32,lst_13:44:12_2020_04_23.tif,0,,,
329,32,lst_13:44:29_2018_08_27.tif,1,,,
330,32,lst_13:48:12_2020_08_22.tif,0,,,
331,33,lst_13:48:55_2021_04_04.tif,0,,,
332,33,lst_13:50:23_2021_06_03.tif,0,,,
333,33,lst_13:52:19_2019_06_06.tif,0,,,
334,33,lst_13:55:16_2020_06_05.tif,0,,,
335,33,lst_14:03:45_2018_08_08.tif,1,,,
336,33,lst_14:07:33_2020_04_04.tif,0,,,
337,33,lst_14:08:07_2022_04_02.tif,0,,,
338,33,lst_14:08:59_2022_04_02.tif,1,,,
339,33,lst_14:09:15_2021_04_20.tif,0,,,
340,33,lst_14:13:16_2019_08_06.tif,1,,,
341,34,lst_14:17:24_2020_08_03.tif,2,2,2,2
342,34,lst_14:19:12_2021_08_20.tif,0,,,
343,34,lst_14:23:50_2019_06_23.tif,1,,,
344,34,lst_14:24:42_2019_06_23.tif,1,,,
345,34,lst_14:29:54_2020_04_20.tif,0,,,
346,34,lst_14:37:48_2021_06_02.tif,1,,,
347,34,lst_14:41:48_2019_06_05.tif,0,,,
348,34,lst_14:41:48_2020_06_02.tif,0,,,
349,34,lst_14:43:25_2018_08_24.tif,0,,,
350,34,lst_14:43:25_2021_08_01.tif,1,,,
351,35,lst_14:44:17_2018_08_24.tif,2,1,1,
352,35,lst_14:44:17_2021_08_01.tif,0,,,
353,35,lst_14:53:28_2019_08_21.tif,0,,,
354,35,lst_14:54:20_2019_08_21.tif,0,,,
355,35,lst_14:54:45_2020_06_20.tif,0,,,
356,35,lst_14:54:51_2020_04_03.tif,0,,,
357,35,lst_14:55:20_2018_08_07.tif,0,,,
358,35,lst_14:56:12_2018_08_07.tif,0,,,
359,35,lst_14:56:23_2021_04_19.tif,1,,,
360,35,lst_14:56:31_2022_04_01.tif,0,,,
361,36,lst_14:56:41_2021_06_18.tif,0,,,
362,36,lst_14:57:15_2021_04_19.tif,1,,,
363,36,lst_14:57:33_2021_06_18.tif,0,,,
364,36,lst_14:59:41_2022_04_17.tif,0,,,
365,36,lst_15:00:33_2022_04_17.tif,1,,,
366,36,lst_15:04:42_2019_08_03.tif,2,2,2,2
367,36,lst_15:05:13_2020_08_02.tif,0,,,
368,36,lst_15:15:55_2019_06_20.tif,1,,,
369,36,lst_15:17:23_2020_04_19.tif,1,,,
370,36,lst_15:18:15_2020_04_19.tif,1,,,
371,37,lst_15:20:57_2020_08_18.tif,0,,,
372,37,lst_15:21:49_2020_08_18.tif,0,,,
373,37,lst_15:23:05_2021_05_30.tif,1,,,
374,37,lst_15:29:52_2020_06_01.tif,0,,,
375,37,lst_15:30:59_2021_07_31.tif,0,,,
376,37,lst_15:33:37_2019_06_02.tif,0,,,
377,37,lst_15:41:45_2020_06_17.tif,2,2,2,2
378,37,lst_15:41:48_2021_04_16.tif,1,,,
379,37,lst_15:43:23_2018_08_21.tif,1,,,
380,37,lst_15:49:05_2022_04_16.tif,0,,,
381,38,lst_15:50:53_2020_07_30.tif,2,2,2,2
382,38,lst_15:50:58_2021_08_16.tif,0,,,
